job_id,posting_year,country,region,city,company_name,company_size,industry,job_title,seniority_level,ai_mentioned,ai_keywords,ai_intensity_score,core_skills,ai_skills,salary_usd,salary_change_vs_prev_year_percent,automation_risk_score,reskilling_required,ai_job_displacement_risk,job_description_embedding_cluster,industry_ai_adoption_stage,survival_score,skill_category
836b4774-702e-49ef-93d3-2f255ce1e910,2018,Brazil,South America,London,NextGen Technologies,Small,Education,Policy Analyst,Lead,True,reinforcement learning,0.81,"Research, Project Management, Business Analysis",reinforcement learning,61586,12.68,0.11,True,Low,14,Growing,55.38339803816884,Stable
43699e93-7b15-4728-a4c6-9e41ff438a25,2015,UAE,Middle East,Singapore,Future Solutions,Medium,Energy,Data Scientist,Executive,False,None,0.04,"Research, SQL, Business Analysis, Python, Cloud Computing, Data Analysis",None,62045,-3.98,0.71,False,High,19,Emerging,42.00816915256101,At-Risk
fc9d1854-3cbf-4bab-90df-77304dfc59df,2016,Nepal,South Asia,Sydney,Future Analytics,Startup,Finance,Product Manager,Junior,False,None,0.15,"Statistics, Project Management, Cloud Computing, Communication, Business Analysis",None,27035,3.55,0.86,False,High,2,Emerging,32.63821368235947,At-Risk
05c1c7d3-2add-4919-91eb-f6c78bfe23d1,2015,Spain,Europe,Nairobi,Global Technologies,Large,Government,Data Scientist,Mid,False,None,0.19,"Cloud Computing, SQL, Project Management, Communication, Statistics, Data Analysis",None,72894,-2.8,0.7,False,Low,15,Emerging,42.42889656585888,At-Risk
5e739937-d1b0-44d7-935c-7ebb3fc1f6e8,2014,Taiwan,East Asia,Sydney,Future Technologies,Small,Manufacturing,ML Engineer,Lead,False,None,0.11,"SQL, Python, Communication, Software Engineering, Statistics, Business Analysis",None,57215,0.85,0.87,False,High,13,Emerging,37.91446597899768,At-Risk
3eaa8f95-6ada-4e08-ad17-ca924707d66f,2022,Colombia,South America,London,Future Analytics,Enterprise,Government,ML Engineer,Senior,True,deep learning,0.77,"Cloud Computing, Research, Data Analysis",deep learning,67379,8.47,0.29,True,High,3,Growing,49.290439922575615,At-Risk
1da6731c-2a17-4fde-b43a-3281912bc31d,2016,Jordan,Middle East,Singapore,Prime Systems,Medium,Healthcare,Software Engineer,Mid,False,None,0.11,"Project Management, Python, Communication, Cloud Computing, Research",None,63931,0.3,0.6,False,Low,15,Emerging,47.11051456930761,At-Risk
85cccc9e-f1c0-4b09-80c0-ab91b09d6f6b,2014,Peru,South America,Paris,NextGen Solutions,Large,Healthcare,Systems Engineer,Executive,False,None,0.03,"Software Engineering, Research, Communication, Python, SQL",None,39525,1.07,0.89,False,Low,2,Emerging,35.22543836073476,At-Risk
2e7cd904-6aaf-4138-9464-1ad4971c25bf,2017,India,South Asia,Bangalore,Prime Technologies,Startup,Education,Policy Analyst,Junior,True,deep learning,0.44,"Project Management, Software Engineering, Business Analysis, SQL, Python, Statistics",deep learning,29117,-1.7,0.25,True,High,13,Growing,42.16239688937093,At-Risk
bcf3fde0-b3e8-457f-9b90-fa1716e92bae,2023,Sri Lanka,South Asia,Seoul,Global Technologies,Startup,Government,AI Researcher,Junior,False,None,0.2,"Data Analysis, Business Analysis, Communication, Software Engineering, Project Management, SQL",None,24450,-0.97,0.7,False,Low,14,Growing,32.92776830695756,At-Risk
